Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,38.1785,-3.6314,3.1670,310.7166,-2.0659,-2.4004,0.4079
245,38.0268,-5.4600,3.2215,262.4995,0.4205,-3.1939,0.4682
240,37.8162,-7.2620,3.1995,260.0958,0.5503,-3.1518,0.4682
235,38.3387,-9.6783,4.3916,283.6278,-1.0347,-4.2680,0.5574
230,38.7413,-12.1495,4.3960,280.0112,-0.7642,-4.3290,0.5574
225,39.5411,-15.3715,5.8418,285.3621,-1.5476,-5.6331,0.7572
220,40.1237,-18.7067,5.8480,280.3789,-1.0535,-5.7523,0.7572
215,40.6588,-19.7382,2.1163,303.4847,-1.1676,-1.7651,0.2586
210,41.1708,-20.7994,2.1181,301.7716,-1.1153,-1.8007,0.2586
205,42.4803,-20.6303,2.9289,5.4632,-2.9156,0.2789,0.2654
200,43.7902,-20.4637,2.9290,5.2722,-2.9166,0.2691,0.2654
195,45.2300,-20.1764,3.2379,8.5798,-3.2017,0.4831,0.3283
190,46.6709,-19.8625,3.2446,9.1049,-3.2037,0.5134,0.3283
185,48.2207,-18.3231,4.1564,35.1752,-3.3974,2.3944,0.4700
180,49.7376,-16.6392,4.1785,37.4223,-3.3185,2.5392,0.4700
175,51.0498,-13.8319,4.9404,55.8119,-2.7761,4.0867,0.5904
170,52.2517,-10.7946,4.9760,59.6328,-2.5156,4.2933,0.5904
165,52.8126,-9.3971,2.2675,57.8015,-1.2082,1.9188,0.3335
160,54.1688,-7.0459,4.3380,48.5218,-2.8732,3.2501,0.7792
155,55.3819,-1.2222,7.9504,74.8280,-2.0808,7.6733,1.1608
150,56.2838,3.3812,6.0955,74.2929,-1.6502,5.8679,0.8454
145,58.2538,1.4939,4.9391,332.0527,-4.3631,-2.3147,0.4534
140,59.8985,0.5267,3.8253,343.0850,-3.6598,-1.1130,0.3662
135,61.2592,-1.5035,3.7557,323.2382,-3.0088,-2.2477,0.3676
130,62.6105,-3.5390,3.6869,324.1951,-2.9902,-2.1570,0.3719
125,63.8550,-4.9065,3.0913,333.2995,-2.7616,-1.3890,0.2939
120,65.5538,-6.1319,3.9578,343.0158,-3.7852,-1.1561,0.4529
115,66.4009,-7.5028,2.2585,327.3325,-1.9012,-1.2190,0.5729
110,67.1852,-8.8183,2.0932,327.2873,-1.7612,-1.1312,0.5735
105,67.5149,-12.6374,3.3554,282.0359,-0.6997,-3.2816,0.5551
100,67.6984,-16.4050,3.2213,276.7226,-0.3771,-3.1991,0.5551
95,67.6313,-18.5199,1.7957,265.5785,0.1384,-1.7904,0.5549
90,67.4892,-20.4532,1.6733,259.5425,0.3037,-1.6455,0.5549
85,67.3519,-20.0587,0.4551,133.8415,0.3152,0.3282,0.5969
80,66.8201,-20.2616,1.1973,189.7168,1.1801,-0.2021,0.5551
75,67.0308,-20.1709,0.4759,10.8623,-0.4674,0.0897,0.4976
70,67.2137,-20.0113,0.4300,20.0526,-0.4040,0.1475,0.4976
65,66.8229,-23.4199,3.0878,252.8815,0.9089,-2.9510,0.4274
60,66.1645,-27.7722,4.1324,247.8047,1.5611,-3.8262,0.4337
55,66.0401,-31.3958,3.2795,264.0776,0.3384,-3.2620,0.3739
50,65.8006,-36.7757,4.9146,261.8154,0.6996,-4.8645,0.4840
45,65.6481,-40.6825,3.5915,263.4434,0.4101,-3.5680,0.4127
40,65.6366,-43.3989,2.4943,268.9340,0.0464,-2.4939,0.3784
35,66.0928,-50.0826,6.1657,276.8235,-0.7326,-6.1220,0.5774
30,66.1532,-57.0385,6.2668,268.3490,0.1806,-6.2642,0.5757
25,66.6048,-60.1167,2.9239,289.2402,-0.9635,-2.7606,0.3413
20,66.9844,-63.2871,2.9066,285.9915,-0.8007,-2.7941,0.3414
15,67.8866,-65.8783,2.9887,311.5638,-1.9829,-2.2362,0.3464
10,68.7397,-68.6304,2.9549,309.2420,-1.8693,-2.2885,0.3409
5,69.4976,-76.7684,6.6692,280.9450,-1.2663,-6.5479,0.6013
0,69.8071,-85.3422,6.6675,272.0285,-0.2360,-6.6633,0.6013
